Titre,subtext,subtext1,date,description,information,motclé,textlink,btn_lien
"
DÉPANNEUR / TECHNICIEN  MAINTENANCE INFORMATIQUE / HELPDESK",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"- Fort d’une expérience professionnelle diversifiée, j’ai pu faire preuves de capacités d’adaptation au sein de l’entreprise, expérience qui m’a ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1181805942/13747198
"AGENT TERRITORIALE ( accueil, titres d'identité, urbanisme, arretes de voirie), SECRETAIRE - ANIMATRICE D'ATELIER CREATIF POUR ENFANT - ANIMATRICE DE COURS D'INFORMATIQUE",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"7 ans d'expérience  en agent territorial (Mairies)
10 ans d'expérience dans le domaine du secrétariat,14 ans d'animation en atelier créatif pour ...",Points forts,"Faire preuve d'autonomie
Gestion administrative du courrier
PREPARATION ET ANIMATION D'ATELIER CREATIF ET D'INFORMATIQUE
La compétence est validée par 1 entreprises
Utiliser les outils numériques",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1256900096/1418677
"
Technicien support informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Autonome et enthousiaste, mes premières expériences m'ont permis de renforcer mes acquis et d'appréhender les différents outils et techniques du ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1065268913/16343607
"
Ingénieur informatique WEB",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"6 ans d'expérience en CDS dans le travail d'analyse / développeur de site WEB (C# / cobol). 
J'ai travaillé sur des projets de la création des ...",Points forts,"Faire preuve d'autonomie
Organiser son travail selon les priorités et les objectifs
Analyser les données d'une étude, d'un projet
Rédiger un cahier des charges, des spécifications techniques
Recueillir et analyser les besoins client",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8077775344/17070576
"
Chef de projet Informatique / AMOA / Business Analyst / Data Analyst",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Avec plus de 15 ans d'expérience dans l'informatique / le digital, dans la vente et le management d'équipes de consultants, je souhaite évoluer sur ...",Points forts,"Analyser les processus métier
Concevoir et gérer un projet
Faire preuve de leadership
Prendre des initiatives et être force de proposition
Travailler en équipe",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2200818274/17349261
Technicien informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"D'un naturel curieux et intéressé par l'informatique, j'ai effectué une formation de technicien supérieur système et réseau. Je souhaite mettre à ...",Points forts,"Travailler en équipe
Gérer un parc informatique
Informatique
Système d'exploitation Linux
Configurer le poste de travail aux besoins de l'utilisateur",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2027963047/6275642
"A la recherche d'un poste d'ingénieur informatique après 3 ans de formation ingénieur en alternance, travaillant en développement logiciel",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Développeur Web en tant qu’alternant en formation Ingénieur depuis 3 ans, je suis à la rechercher d’un emploi dans le domaine informatique. 
Mon ...",Points forts,"Flask
Méthodologie Scrum
PostgreSQL
Framework Angular
Maîtrise de l’anglais (écrit et oral)",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2196863606/17117899
"Technicien informatique polyvalent, avec 4ans d'expérience.",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"4ans d'expérience dans l'informatique. Motivé et ambitieux, à la recherche de stabilité. ",Points forts,"Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques
Organiser son travail selon les priorités et les objectifs
Structurer, synthétiser des informations
Système d'exploitation informatique Android",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2091461502/7076534
"
techniciens recyclage informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,Mon parcours professionnel dans des domaines d'activités diversifiées m'a permis de développer polyvalence et capacité pour répondre simultanément ...,,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1272101028/7523279
technicien informatique en recherche d'alternance pour un bachelor,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,Je viens de finir mon bachelor que je n’ai pas pu terminer car je n’avais pas de projet a présenter en fin d’année car mon tuteur n’était pas ...,,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2158486133/12696561
