Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_description
,,"4,0",Armée de l'Air et de l'Espace,Responsable gestion informatique - H/F,Gentilly,2 k € (Estimation de l'employeur),5j,"Description du poste

Vous êtes chargé :

D'accompagner le bureau développement capacitaire de l'État‑Major de l'armée de l'Air et de l'Espace (EMAAE), ainsi que la DSI de l'AAE – réseaux et services, pour la mise à disposition et le déploiement de capacités réseau et de systèmes d'informations opérationnels hébergés dans l'écosystème de l'opérateur ;
D'initier et d'instruire le processus de raccordement d'une architecture pérenne (radar de surveillance, systèmes audio, LDT, SIOC), dans le cadre des déploiements du programme majeur SCCOA en métropole, ou de projets de l'AAE.
De gérer des projets sur le périmètre de la DIRISI en mobilisant les ressources en vue de la délivrance du service.

Profil recherché

Vous justifiez d’un BAC+3 ou équivalent dans le domaine du numérique.

Vous avez la nationalité française ;
Vous avez moins de 30 ans à la date de signature du contrat."
,,"4,0",4CAD Group,Consultant.e Fonctionnel.le confirmé.e Négoce Production F/H,Saint-Priest,,30j+,"4CAD FOR YOU : Devenez Connexateur.ice

Chez 4CAD Group, depuis 20 ans nous accompagnons les industriels dans leur transformation digitale. Du développement produit à l’optimisation de la relation client, notre mission est de construire l’industrie de demain grâce à l’expertise de nos 450 collaborateurs.ices en France, en Suisse et au Canada. Les connexateurs.ices

Nous cultivons depuis toujours la proximité. Celle d’une entreprise à taille humaine créée par des passionnés pour des passionnés, faisant rimer numérique et interaction entre les collaborateurs.


Solidaires et engagés, la culture d’entreprise chez 4CAD Group c’est surtout un état d’esprit résumé en une communauté : LES CONNEXATEURS.


Les missions du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)

Au sein de 4CAD ERP, vous accompagnez nos clients dans la réussite de l'intégration de solutions ERP (SAGE X3). Vous aidez ainsi nos clients à alléger la gestion de leur entreprise en simplifiant tous les aspects de leurs opérations.


Dans ce cadre, vous assurez la relation quotidienne avec nos clients et partenaires et vous serez amené.e à :



Réaliser et rédiger l'analyse des besoins
Conseiller nos clients en vous appuyant sur vos expertises métiers de la production et du négoce
Concevoir et paramétrer la solution Sage X3
Réaliser les tests de validation fonctionnelle
Former et assister le client
Accompagner et être force de proposition dans l'évolution du SI de nos clients
Contribuer à l'évolution de nos pratiques d'implémentation et au travail d'équipe


Le profil du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)


Issu.e d’une formation dans le domaine de la gestion de production, vous justifiez d’une première expérience réussie dans les métiers de l'industrie, production, supply chain et négoce.

Connaissance de l'ERP Sage X3 indispensable, vous avez une expérience de plus de 2 ans sur l'intégration Sage X3.

Dôté.e d’une bonne capacité d’analyse et rédactionnelle.


Nous mettons en place un cursus d’intégration et de formation adapté à chaque poste pour faciliter votre réussite dans ce nouveau challenge.

4CAD Group fait partie des BESTWORK PLACES France en se hissant à la 15ème place du classement Great Place to Work France.

La diversité, sous toutes ses formes, est une richesse et nous nous engageons à la promouvoir.

L’ensemble de nos postes sont ouverts aux personnes en situation de handicap."
,,"3,3",FIDUCIAL,Responsable Informatique Sureté & Sécurité Humaine H/F,Lyon,,6j,"4CAD FOR YOU : Devenez Connexateur.ice

Chez 4CAD Group, depuis 20 ans nous accompagnons les industriels dans leur transformation digitale. Du développement produit à l’optimisation de la relation client, notre mission est de construire l’industrie de demain grâce à l’expertise de nos 450 collaborateurs.ices en France, en Suisse et au Canada. Les connexateurs.ices

Nous cultivons depuis toujours la proximité. Celle d’une entreprise à taille humaine créée par des passionnés pour des passionnés, faisant rimer numérique et interaction entre les collaborateurs.


Solidaires et engagés, la culture d’entreprise chez 4CAD Group c’est surtout un état d’esprit résumé en une communauté : LES CONNEXATEURS.


Les missions du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)

Au sein de 4CAD ERP, vous accompagnez nos clients dans la réussite de l'intégration de solutions ERP (SAGE X3). Vous aidez ainsi nos clients à alléger la gestion de leur entreprise en simplifiant tous les aspects de leurs opérations.


Dans ce cadre, vous assurez la relation quotidienne avec nos clients et partenaires et vous serez amené.e à :



Réaliser et rédiger l'analyse des besoins
Conseiller nos clients en vous appuyant sur vos expertises métiers de la production et du négoce
Concevoir et paramétrer la solution Sage X3
Réaliser les tests de validation fonctionnelle
Former et assister le client
Accompagner et être force de proposition dans l'évolution du SI de nos clients
Contribuer à l'évolution de nos pratiques d'implémentation et au travail d'équipe


Le profil du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)


Issu.e d’une formation dans le domaine de la gestion de production, vous justifiez d’une première expérience réussie dans les métiers de l'industrie, production, supply chain et négoce.

Connaissance de l'ERP Sage X3 indispensable, vous avez une expérience de plus de 2 ans sur l'intégration Sage X3.

Dôté.e d’une bonne capacité d’analyse et rédactionnelle.


Nous mettons en place un cursus d’intégration et de formation adapté à chaque poste pour faciliter votre réussite dans ce nouveau challenge.

4CAD Group fait partie des BESTWORK PLACES France en se hissant à la 15ème place du classement Great Place to Work France.

La diversité, sous toutes ses formes, est une richesse et nous nous engageons à la promouvoir.

L’ensemble de nos postes sont ouverts aux personnes en situation de handicap."
,,"3,3",FIDUCIAL,Technicien Informatique Itinérant H/F,Rouen,,30j+,"4CAD FOR YOU : Devenez Connexateur.ice

Chez 4CAD Group, depuis 20 ans nous accompagnons les industriels dans leur transformation digitale. Du développement produit à l’optimisation de la relation client, notre mission est de construire l’industrie de demain grâce à l’expertise de nos 450 collaborateurs.ices en France, en Suisse et au Canada. Les connexateurs.ices

Nous cultivons depuis toujours la proximité. Celle d’une entreprise à taille humaine créée par des passionnés pour des passionnés, faisant rimer numérique et interaction entre les collaborateurs.


Solidaires et engagés, la culture d’entreprise chez 4CAD Group c’est surtout un état d’esprit résumé en une communauté : LES CONNEXATEURS.


Les missions du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)

Au sein de 4CAD ERP, vous accompagnez nos clients dans la réussite de l'intégration de solutions ERP (SAGE X3). Vous aidez ainsi nos clients à alléger la gestion de leur entreprise en simplifiant tous les aspects de leurs opérations.


Dans ce cadre, vous assurez la relation quotidienne avec nos clients et partenaires et vous serez amené.e à :



Réaliser et rédiger l'analyse des besoins
Conseiller nos clients en vous appuyant sur vos expertises métiers de la production et du négoce
Concevoir et paramétrer la solution Sage X3
Réaliser les tests de validation fonctionnelle
Former et assister le client
Accompagner et être force de proposition dans l'évolution du SI de nos clients
Contribuer à l'évolution de nos pratiques d'implémentation et au travail d'équipe


Le profil du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)


Issu.e d’une formation dans le domaine de la gestion de production, vous justifiez d’une première expérience réussie dans les métiers de l'industrie, production, supply chain et négoce.

Connaissance de l'ERP Sage X3 indispensable, vous avez une expérience de plus de 2 ans sur l'intégration Sage X3.

Dôté.e d’une bonne capacité d’analyse et rédactionnelle.


Nous mettons en place un cursus d’intégration et de formation adapté à chaque poste pour faciliter votre réussite dans ce nouveau challenge.

4CAD Group fait partie des BESTWORK PLACES France en se hissant à la 15ème place du classement Great Place to Work France.

La diversité, sous toutes ses formes, est une richesse et nous nous engageons à la promouvoir.

L’ensemble de nos postes sont ouverts aux personnes en situation de handicap."
,,"3,6",Atos,Intégrateur et valideur systèmes radar H/F/X,Aix,,30j+,"4CAD FOR YOU : Devenez Connexateur.ice

Chez 4CAD Group, depuis 20 ans nous accompagnons les industriels dans leur transformation digitale. Du développement produit à l’optimisation de la relation client, notre mission est de construire l’industrie de demain grâce à l’expertise de nos 450 collaborateurs.ices en France, en Suisse et au Canada. Les connexateurs.ices

Nous cultivons depuis toujours la proximité. Celle d’une entreprise à taille humaine créée par des passionnés pour des passionnés, faisant rimer numérique et interaction entre les collaborateurs.


Solidaires et engagés, la culture d’entreprise chez 4CAD Group c’est surtout un état d’esprit résumé en une communauté : LES CONNEXATEURS.


Les missions du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)

Au sein de 4CAD ERP, vous accompagnez nos clients dans la réussite de l'intégration de solutions ERP (SAGE X3). Vous aidez ainsi nos clients à alléger la gestion de leur entreprise en simplifiant tous les aspects de leurs opérations.


Dans ce cadre, vous assurez la relation quotidienne avec nos clients et partenaires et vous serez amené.e à :



Réaliser et rédiger l'analyse des besoins
Conseiller nos clients en vous appuyant sur vos expertises métiers de la production et du négoce
Concevoir et paramétrer la solution Sage X3
Réaliser les tests de validation fonctionnelle
Former et assister le client
Accompagner et être force de proposition dans l'évolution du SI de nos clients
Contribuer à l'évolution de nos pratiques d'implémentation et au travail d'équipe


Le profil du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)


Issu.e d’une formation dans le domaine de la gestion de production, vous justifiez d’une première expérience réussie dans les métiers de l'industrie, production, supply chain et négoce.

Connaissance de l'ERP Sage X3 indispensable, vous avez une expérience de plus de 2 ans sur l'intégration Sage X3.

Dôté.e d’une bonne capacité d’analyse et rédactionnelle.


Nous mettons en place un cursus d’intégration et de formation adapté à chaque poste pour faciliter votre réussite dans ce nouveau challenge.

4CAD Group fait partie des BESTWORK PLACES France en se hissant à la 15ème place du classement Great Place to Work France.

La diversité, sous toutes ses formes, est une richesse et nous nous engageons à la promouvoir.

L’ensemble de nos postes sont ouverts aux personnes en situation de handicap."
,,"4,0",Armée de l'Air et de l'Espace,Ingénieur cyberprotection - H/F,Mont-de-Marsan,2 k € - 4 k € (Estimation de l'employeur),30j+,"4CAD FOR YOU : Devenez Connexateur.ice

Chez 4CAD Group, depuis 20 ans nous accompagnons les industriels dans leur transformation digitale. Du développement produit à l’optimisation de la relation client, notre mission est de construire l’industrie de demain grâce à l’expertise de nos 450 collaborateurs.ices en France, en Suisse et au Canada. Les connexateurs.ices

Nous cultivons depuis toujours la proximité. Celle d’une entreprise à taille humaine créée par des passionnés pour des passionnés, faisant rimer numérique et interaction entre les collaborateurs.


Solidaires et engagés, la culture d’entreprise chez 4CAD Group c’est surtout un état d’esprit résumé en une communauté : LES CONNEXATEURS.


Les missions du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)

Au sein de 4CAD ERP, vous accompagnez nos clients dans la réussite de l'intégration de solutions ERP (SAGE X3). Vous aidez ainsi nos clients à alléger la gestion de leur entreprise en simplifiant tous les aspects de leurs opérations.


Dans ce cadre, vous assurez la relation quotidienne avec nos clients et partenaires et vous serez amené.e à :



Réaliser et rédiger l'analyse des besoins
Conseiller nos clients en vous appuyant sur vos expertises métiers de la production et du négoce
Concevoir et paramétrer la solution Sage X3
Réaliser les tests de validation fonctionnelle
Former et assister le client
Accompagner et être force de proposition dans l'évolution du SI de nos clients
Contribuer à l'évolution de nos pratiques d'implémentation et au travail d'équipe


Le profil du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)


Issu.e d’une formation dans le domaine de la gestion de production, vous justifiez d’une première expérience réussie dans les métiers de l'industrie, production, supply chain et négoce.

Connaissance de l'ERP Sage X3 indispensable, vous avez une expérience de plus de 2 ans sur l'intégration Sage X3.

Dôté.e d’une bonne capacité d’analyse et rédactionnelle.


Nous mettons en place un cursus d’intégration et de formation adapté à chaque poste pour faciliter votre réussite dans ce nouveau challenge.

4CAD Group fait partie des BESTWORK PLACES France en se hissant à la 15ème place du classement Great Place to Work France.

La diversité, sous toutes ses formes, est une richesse et nous nous engageons à la promouvoir.

L’ensemble de nos postes sont ouverts aux personnes en situation de handicap."
,,"3,6",Melexis Microelectronic Systems,Digital architect / Tech lead,Paris,,30j+,"4CAD FOR YOU : Devenez Connexateur.ice

Chez 4CAD Group, depuis 20 ans nous accompagnons les industriels dans leur transformation digitale. Du développement produit à l’optimisation de la relation client, notre mission est de construire l’industrie de demain grâce à l’expertise de nos 450 collaborateurs.ices en France, en Suisse et au Canada. Les connexateurs.ices

Nous cultivons depuis toujours la proximité. Celle d’une entreprise à taille humaine créée par des passionnés pour des passionnés, faisant rimer numérique et interaction entre les collaborateurs.


Solidaires et engagés, la culture d’entreprise chez 4CAD Group c’est surtout un état d’esprit résumé en une communauté : LES CONNEXATEURS.


Les missions du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)

Au sein de 4CAD ERP, vous accompagnez nos clients dans la réussite de l'intégration de solutions ERP (SAGE X3). Vous aidez ainsi nos clients à alléger la gestion de leur entreprise en simplifiant tous les aspects de leurs opérations.


Dans ce cadre, vous assurez la relation quotidienne avec nos clients et partenaires et vous serez amené.e à :



Réaliser et rédiger l'analyse des besoins
Conseiller nos clients en vous appuyant sur vos expertises métiers de la production et du négoce
Concevoir et paramétrer la solution Sage X3
Réaliser les tests de validation fonctionnelle
Former et assister le client
Accompagner et être force de proposition dans l'évolution du SI de nos clients
Contribuer à l'évolution de nos pratiques d'implémentation et au travail d'équipe


Le profil du CONSULTANT.E FONCTIONNEL.LE CONFIRME.E NEGOCE PROD (F/H)


Issu.e d’une formation dans le domaine de la gestion de production, vous justifiez d’une première expérience réussie dans les métiers de l'industrie, production, supply chain et négoce.

Connaissance de l'ERP Sage X3 indispensable, vous avez une expérience de plus de 2 ans sur l'intégration Sage X3.

Dôté.e d’une bonne capacité d’analyse et rédactionnelle.


Nous mettons en place un cursus d’intégration et de formation adapté à chaque poste pour faciliter votre réussite dans ce nouveau challenge.

4CAD Group fait partie des BESTWORK PLACES France en se hissant à la 15ème place du classement Great Place to Work France.

La diversité, sous toutes ses formes, est une richesse et nous nous engageons à la promouvoir.

L’ensemble de nos postes sont ouverts aux personnes en situation de handicap."
,,"3,2",Chaussea,Technicien support informatique h/f,Metz,,30j+,"À propos de nous

Tu cherches chaussure à ton pied ? Rejoins notre groupe labellisé « Capital Meilleur Employeur 2024 » et « Meilleure Chaîne de Magasins de l’Année 2024 » pour partager notre culture de la mode !


CHAUSSEA en un coup d’œil :


Un groupe français basé en Lorraine
+ de 35 ans d'expérience dans la distribution de chaussure
+ de 4000 collaborateurs
+ de 500 magasins dans 4 pays : France, Belgique, Luxembourg et Espagne
+ 30 millions de paires vendues par an
Des 10ènes d'ouvertures de magasins chaque année
Une approche familiale : « La mode, le choix, le prix ! »
Mission

Rattaché(e) à la Direction des Systèmes d’Informations du groupe CHAUSSEA, vous rejoignez l'équipe du Support informatique pour assurer le support technique et applicatif des solutions logicielles et matérielles implantées en magasin et au siège.

Vos missions principales :

Support :

Réceptionner les appels, analyser la nature de l’incident ou du problème et mettre en œuvre la solution optimale au moyen de nos outils de télémaintenance.


Traitement matériel et Exploitation :

Préparer les caisses pour les nouveaux magasins et en assurer le suivi

Préparer les PC de bureaux pour les nouveaux collaborateurs

Configuration et maintenance des tablettes et smartphones

Dépannage à distance

Relations fournisseurs :

Suivi des incidents (Orange, ...)

Profil

De formation Bac +2 dans le domaine informatique, vous possédez une première expérience du support technique idéalement dans un contexte de commerce spécialisé.

Doté(e) d’un excellent relationnel et d’un véritable sens du service client, vous saurez faire preuve de pédagogie, d’écoute et de patience sans faille.

Support les samedis en présentiel (1 semaine/ 2).


L’engagement CHAUSSEA :

Une rémunération fixe + primes + participation + réductions en magasins + CE

Pour ne pas te sentir à côté de tes pompes : un parcours d’intégration sur mesure

Une ambiance de travail à l'image de nos valeurs : Passion, Respect, Esprit d’équipe, Fidélité

Chez CHAUSSEA, seul le talent compte, ce poste est ouvert aux personnes en situation de handicap.


#chaussearecrute"
,,"4,1",Roquette,Ingénieur IT Système et Infrastructure (H/F),Lestrem,,30j+,"Roquette is a family-owned global leader in plant-based ingredients and a leading provider of pharmaceutical excipients.
Want to help us make a difference?
Using plant-based resources, we collaborate with our customers and partners to imagine and offer ingredients to better feed people and treat patients.
Each of our ingredients responds to unique and essential needs, and they enable healthier lifestyles.
Nous recherchons notre futur Ingénieur IT Système et Infrastructure (H/F), en CDI, pour rejoindre l’équipe Global Infrastructure Système composée de 7 personnes. Ce poste est basé à Lestrem (près de Lille).
Vous apporterez votre expérience et votre talent pour :
Garantir un niveau élevé de disponibilité des ressources informatiques grâce à un suivi proactif, afin de prévenir le risque de défaillance de service ou de temps de réponse dégradé.
Diagnostiquer et corriger des problèmes complexes escaladés par l'équipe de niveau 2
Définir et mettre en œuvre de nouveaux processus et procédures afin de respecter les SLA et une expérience utilisateur optimale.
Contribuer avec les architectes techniques à la définition des plans à long terme et des roadmap (modernisation et obsolescence de l'infrastructure)
Se positionner comme leader/expert en fournissant des opportunités de développement et des orientations aux équipes de niveau 2.
Assurer un contrôle efficace et une analyse des risques dans le but de maintenir les niveaux attendus de disponibilité, de performance et de sécurité.
Gérer efficacement les parties prenantes des sujets couverts et des relations grâce à des communications efficaces.
Encourager et motiver ses collègues à partager des idées créatives et à apprendre de ses échecs.
Participer à la mise en œuvre de nouveaux projets en production en :
participant au développement de la conception avec les équipes architecture et métier.
coordonnant les étapes requises pour gérer la nouvelle solution
participant activement aux projets en tant qu'expert technique
Ce que nous apprécierons chez vous :
Avant tout, vous avez une compréhension approfondie des opérations et administrations d’un service d'infrastructure informatique, avec une vision globale et à jour des systèmes d'information d’entreprise et une forte capacité à travailler dans un environnement international.
Votre capacité à vous adapter dans un environnement évolutif est également cruciale.
Mais aussi :
Diplôme d'ingénieur ou équivalent spécialisé en technologie de l'information
Minimum 7 ans d'expérience en infrastructure informatique, avec jusqu'à 4 à 7 ans en tant que membre technique de l'équipe.
Compétences techniques :
Expérience en infrastructure de Datacenter, comprenant les technologies de serveurs et de stockage (CISCO UCS, PureStorage), les logiciels et matériels de sauvegarde d'entreprise (Veritas Netbackup, Flex Appliances).
Expérience sur les solutions d'infrastructure Microsoft (Active Directory, Windows Server, Hyper-V, SQL Server) et VMware vSphere.
Expérience sur les solutions Cloud Microsoft Azure.
Expérience dans les outils d'automatisation et d'orchestration (Terraform, Ansible, etc.)
Exigence spécifique : astreintes régulières
And because we are an international company, you feel at ease in an English speaking environment (niveau B2)   
Ce que nous offrons :
Des opportunités pour apprendre et se développer dans environnement entrepreneurial qui encourage l'innovation.
Notre politique de mobilité interne
Les avantages tels que : RTT, Compte Epargne Temps, Intéressement
La possibilité de conjuguer vie pro et vie perso à travers notamment le télétravail et une flexibilité organisationnelle.
If you identify yourself in this position, please apply by uploading your resume and let's start the journey together !
Roquette is proud to be a global company where you can find personal and professional growth through multiple diverse experiences.
Roquette believes Diversity, Equity and Inclusion must be woven into everything we do, from the products we make, through the relationships we build with our partners, and most importantly within the teams we create and how we interact together.
As we continue to grow, Roquette understands that to be successful we must always be inclusive in our approach, by creating a workforce that represents the world we live in, and the communities and customers we serve.
To find out more about our products, values and sustainable development ambitions visit us at www.roquette.com and at www.sustainability.roquette.com"
,,"3,6",Atos,Ingénieur Systèmes de Contrôle-Commande Nucléaire F/H,Colombelles,,30j+,"Ingénieur Systèmes de Contrôle-Commande Nucléaire F/H
Date de publication: 9 oct. 2024
Réf. Non: 510590
Emplacement: Colombelles, FR, 14460

Bienvenue chez Eviden, acteur clé du numérique de prochaine génération et leader mondial du cloud, du calcul avancé et de la sécurité !





Eviden opère dans tous les secteurs d’activité, et fait rayonner son expertise sur l’ensemble du continuum numérique.
Nous rejoindre, c’est à la fois une opportunité exaltante de contribuer au futur de la tech et d’agir pour le bien commun, tout en bénéficiant d’un environnement équitable et inclusif, entouré d’experts de haut niveau !
Aujourd’hui, et pour les générations à venir, ouvrons le champ des possibles.





Vous êtes curieux, inventif et audacieux ? Rejoignez la #TeamEviden !




Contexte :

Worldgrid™, ligne d'activités d'Eviden, est un leader mondial des systèmes informatiques dans le domaine de l’énergie. Acteur majeur de la transition énergétique avec plus de 40 ans d’expertise sur le marché Energie & Utilities Worldgrid™ développe mondialement son expertise grâce à plus de 1500 ingénieurs et consultants en France et dans de nombreux pays (Italie, Espagne, Allemagne, USA, UK, Asie).
A l’avant-garde des défis technologiques, Worldgrid™ recherche constamment à progresser pour construire des systèmes énergétiques durables, propres et résilients pour la production, le transport, la distribution et la commercialisation de l'énergie.
Aujourd’hui comme demain, Worldgrid™ est acteur de la transition énergétique. Les technologies Worldgrid™ apportent une forte valeur ajoutée aux différents acteurs du marché de l’énergie, en leur permettant d’optimiser leurs processus et leurs systèmes d'information techniques ou de gestion.
A ce titre, Worldgrid™ recherche des ingénieurs et techniciens, animés de la même passion pour les systèmes énergétiques et prêts à rejoindre et s'engager pour ces valeurs.




Face à l’urgence climatique, le nucléaire est une énergie d’avenir, pilotable et bas carbone, qui complète parfaitement les énergies renouvelables pour décarboner notre production électrique tout en préservant notre indépendance énergétique. Worldgrid dispose d’une expertise internationale reconnue dans ce domaine. En effet, nos solutions de contrôle-commande pour le nucléaire, développées à Grenoble, équipent plus de 25 installations majeures en France, au Royaume-Uni et en Chine.




Votre rôle:

En tant qu’Ingénieur d'Etudes et Automatismes F/H, vous serez amené à travailler sur des projets innovants et ambitieux pour une clientèle de grands comptes dans le domaine de l'énergie;
Dans le cadre du développement de nos prestations pour des clients majeurs de l'énergie, le collaborateur réalisera des prestations sur site client au sein d'une équipe de proximité d'une dizaine de personnes expérimentées et sous le contrôle d’un chef de projet;
Vous serez directement intégré aux équipes projets à Cherbourg-En-Cotentin.



Vos missions :

Comprendre et collecter les besoins fonctionnels du client;
Rédiger les dossiers de conception et de définition d’étude ou d’applicatif contrôle commande;
Superviser et/ou réaliser la programmation/développement/modification d’applicatif contrôle commande;
Superviser et/ou réaliser la programmation/développement/modification d’applicatif informatique industrielle;
Rédiger les dossiers de validation sur plateforme d’essais puis sur site;
Manager une équipe opérationnelle en back office;
Participer aux réunions techniques clients en étroite collaboration avec le chef de projet.



Environnement Technique :

Automates Programmables Industriels April Série 1000 et Modicon M340-580 (Control Expert), SMC600;
Carte de contrôle Bailey;
Protocoles réseaux informatique (connaissances générales : Ethernet, TCP-IP, client et serveur FTP, HTTP, pare-feu);
Protocoles de transfert et réseaux automates (connaissances générales : JBUS, JNET);
Supervision Panorama E2, PCVue;
Bureautique : Word, Excel, PowerPoint, Outlook, Skype, Teams.



Votre profil :

Vous possédez un diplôme de formation en Contrôle Commande et Informatique Industrielle ou équivalent. (BAC +2 à +5), avec 10 ans d’expérience dans le milieu industriel;
Autonome, rigoureux, proactif, vous êtes passionné et faites preuve d'une ouverture d'esprit et d'une culture généraliste qui vous permet de collaborer, au sein des projets, avec des équipes pluridisciplinaires.



Pourquoi nous rejoindre ?

Un vrai plan de formations sur mesure et certifiantes ;
Télétravail possible à hauteur de 60% du temps de travail ;
L’accompagnement et suivi de votre évolution professionnelle ;
Nombreux événements dans des lieux privatisés;
Un salaire compris entre 40 et 50k selon votre experience.



Mais aussi :

Un package compétitif de rémunération (nombreuses primes : cooptations, projets, etc..) ;
De beaux locaux spacieux dans le respect de notre politique Green IT, où il fait bon vivre et où l’on a envie de travailler ;
Mutuelle d’entreprise, compte épargne temps, compte personnel formation ;
Comité d’entreprise, activités et animation locale ;
Participation, intéressement et actionnariat salarié.



Le monde de l’énergie vous intéresse et le challenge technique ne vous fait pas peur ? Alors n’attendez plus et postulez !




#GrowTogether #Cherbourg #nucléaire




#Eviden

Faire partie des pionniers d'Eviden, ça vous dit?
C'est justement cette audace et cette curiosité qu'on recherche chez nos talents pour grandir ensemble, transformer des possibilités en réalité pour nos clients et façonner le futur de la Tech et de la société.

Chez Eviden, diversité, équité et inclusion sont au cœur de notre politique RH. Nos métiers sont tous ouverts aux personnes en situation de handicap et ce, quelle que soit la nature de celui-ci. Grâce à nos programmes qui soutiennent toutes les diversités, nos collaborateurs et collaboratrices sont pleinement impliqués pour faire vivre cette culture de l’inclusion.





Rejoignez notre communauté!"
