Poste,Recruteur,Étiquette,Lieu,Type_de_contrat,Salaire,Durée,Horaire_de_travail,Lieu_de_travail,Date_de_publication,URL_de_la_page_détaillée
Data Contrôleur H/F,Baker Tilly,,Anglet - 64,CDI,,,,🏡 Télétravail partiel,10 nov. 2024,https://www.hellowork.com/fr-fr/emplois/58162097.html
Data Engigneer H/F,TheGoodFit,,Mouans-Sartoux - 06,CDI,,,,,10 nov. 2024,https://www.hellowork.com/fr-fr/emplois/55618114.html
Data Gouvernance H/F,eXalt,,Paris - 75,CDI,,,,🏡 Télétravail partiel,11 nov. 2024,https://www.hellowork.com/fr-fr/emplois/48829916.html
Data Architecte H/F,Consort Group,,Paris - 75,CDI,,,,,hier,https://www.hellowork.com/fr-fr/emplois/58275002.html
Data Contrôleur H/F,Baker Tilly,,Le Mans - 72,CDI,,,,🏡 Télétravail partiel,10 nov. 2024,https://www.hellowork.com/fr-fr/emplois/58162062.html
Data Governance H/F,Ividata Life Sciences,,Levallois-Perret - 92,CDI,,,,🏡 Télétravail partiel,2 nov. 2024,https://www.hellowork.com/fr-fr/emplois/54161590.html
Expert Fonctionnel Data H/F,Groupe SEB,,Écully - 69,CDI,50 000 - 60 000 € / an,,,🏡 Télétravail partiel,il y a 9 heures,https://www.hellowork.com/fr-fr/emplois/58288503.html
Stage Data H/F,Prevost,,Annecy - 74,Stage,"4,35 € / heure","
            ⏱️ 6 mois
        ",,,4 nov. 2024,https://www.hellowork.com/fr-fr/emplois/52891932.html
Responsable Référentiel Data H/F,First Stop Ayme,,Saint-Priest - Nanterre,CDD,38 000 - 48 000 € / an,"
            ⏱️ 18 mois
        ",,🏡 Télétravail occasionnel,11 nov. 2024,https://www.hellowork.com/fr-fr/emplois/55693078.html
Architecte Technique Data H/F,JEMS Group,,Levallois-Perret - 92,CDI,,,,🏡 Télétravail partiel,il y a 9 heures,https://www.hellowork.com/fr-fr/emplois/58291286.html
Business Analyst Data H/F,BPCE Solutions informatiques,,Paris - 75,CDI,,,,🏡 Télétravail partiel,12 nov. 2024,https://www.hellowork.com/fr-fr/emplois/58225503.html
Data Controler H/F,"COGEBS CEE (Comptabilité, Organisation, Gestion Basse Seine)",,Elbeuf - 76,CDI,,,,🏡 Télétravail occasionnel,2 nov. 2024,https://www.hellowork.com/fr-fr/emplois/56605201.html
Manager Data H/F,Orange Business,,Toulouse - 31,CDI,,,,,30 oct. 2024,https://www.hellowork.com/fr-fr/emplois/48279618.html
Manager Data H/F,Orange Business,,Bordeaux - 33,CDI,,,,🏡 Télétravail occasionnel,30 oct. 2024,https://www.hellowork.com/fr-fr/emplois/48279532.html
Manager Data H/F,Orange Business,,Lyon - 69,CDI,,,,,30 oct. 2024,https://www.hellowork.com/fr-fr/emplois/48279571.html
Tech Lead Data H/F,Jobberry Interim,,Bordeaux - 33,CDI,50 000 - 60 000 € / an,,,,8 nov. 2024,https://www.hellowork.com/fr-fr/emplois/56822342.html
Tech Lead Data H/F,Jobberry Interim,,Bordeaux - 33,CDI,50 000 - 60 000 € / an,,,,8 nov. 2024,https://www.hellowork.com/fr-fr/emplois/56822385.html
Collaborateur Comptable Data H/F,BEHIVE,"
    
    
    

    Super recruteur
",Le Puy-en-Velay - 43,CDI,32 000 - 36 000 € / an,,,,9 nov. 2024,https://www.hellowork.com/fr-fr/emplois/54442694.html
DevOps - Data H/F,OVHCloud,,Paris - 75,CDI,,,,🏡 Télétravail partiel,1 nov. 2024,https://www.hellowork.com/fr-fr/emplois/56548695.html
Tech Lead Data H/F,Consept,"
    
    
    

    Super recruteur
",Clermont-Ferrand - 63,CDI,45 000 - 55 000 € / an,,,🏡 Télétravail occasionnel,hier,https://www.hellowork.com/fr-fr/emplois/58258845.html
Business Analyst Data H/F,NEXTON,,Paris - 75,CDI,,,,,7 nov. 2024,https://www.hellowork.com/fr-fr/emplois/58022293.html
Data Product Manager Data Solution Architect H/F,Nyou,"
    
    
    

    Super recruteur
",Paris - 75,Indépendant/Freelance,600 - 700 € / jour,,,🏡 Télétravail partiel,4 nov. 2024,https://www.hellowork.com/fr-fr/emplois/57844018.html
Manager Data Intelligence - Data Visualisation H/F,Orange Business,,Nantes - 44,CDI,,,,,30 oct. 2024,https://www.hellowork.com/fr-fr/emplois/48279620.html
Product Manager Data H/F,Seyos,"
    
    
    

    Super recruteur
",Levallois-Perret - 92,CDI,55 000 - 60 000 € / an,,,🏡 Télétravail partiel,9 nov. 2024,https://www.hellowork.com/fr-fr/emplois/58137125.html
Data Analyst - Direction Data & IA H/F,MAIF,,Niort - 79,CDI,,,,🏡 Télétravail partiel,12 nov. 2024,https://www.hellowork.com/fr-fr/emplois/58197084.html
Consultant Data Gouvernance - Data Management H/F,EY,,La Défense - 92,CDI,,,,🏡 Télétravail partiel,8 nov. 2024,https://www.hellowork.com/fr-fr/emplois/56844669.html
Tech Lead Data H/F,Inetum,,Saint-Ouen-sur-Seine - 93,CDI,,,,🏡 Télétravail occasionnel,8 nov. 2024,https://www.hellowork.com/fr-fr/emplois/56807085.html
Enseignant Chercheur en Data H/F,Work Agency,,Villejuif - 94,CDI,,,,,4 nov. 2024,https://www.hellowork.com/fr-fr/emplois/57824122.html
Manager Data Intelligence H/F,Orange Business,,Paris - 75,CDI,,,,,7 nov. 2024,https://www.hellowork.com/fr-fr/emplois/55524616.html
Alternant Business et Data H/F,Tryba,,Gundershoffen - 67,Alternance,,,,,il y a 10 heures,https://www.hellowork.com/fr-fr/emplois/55852079.html
Scrummaster Data H/F,FLY IT,"
    
    
    

    Super recruteur
",Lyon - 69,CDI,40 000 - 50 000 € / an,,,🏡 Télétravail occasionnel,29 oct. 2024,https://www.hellowork.com/fr-fr/emplois/57645080.html
Consultant Confirmé Data H/F,Expertime,"
    
    
    

    Super recruteur
",Viroflay - 78,CDI,50 000 - 60 000 € / an,,,🏡 Télétravail partiel,il y a 10 heures,https://www.hellowork.com/fr-fr/emplois/55863296.html
Charge d'Activite Data H/F,Crédit Agricole Centre-est,"
    
    
    

    Super recruteur
",Champagne-au-Mont-d'Or - 69,CDI,40 000 - 41 000 € / an,,,,12 nov. 2024,https://www.hellowork.com/fr-fr/emplois/55708820.html
