URL_original,URL_détail,Titre,Société,Type_de_contrat,Location,Temps_de_publication,Salaire,Télétravail,Expérience,Description_du_poste
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/recommerce-group/jobs/technicien-support-systemes-et-reseaux-h-f_gentilly_RG_jXD6V26?q=b199bdbfb72f0380217888ee73daf1d9&o=7e298b47-5c0b-4727-a836-d83005fbc598&p=true,Technicien Support Systèmes et Réseaux (H/F),RECOMMERCE GROUP,CDI,Gentilly,2024-10-28T12:00:44Z,Non spécifié,Télétravail occasionnel,Candidatures,"👉Contexte : 

Face à l’accroissement de notre activité, notre équipe infrastructure recherche un.e Technicien.ne Support Systèmes et Réseaux.

🚀Vos missions : 

Exécuter les processus d’onboarding et d’offboarding des collaborateurs

Améliorer en continu les processus existants pour une gestion plus efficace des droits applicatifs des collaborateurs

Prendre en charge graduellement le support relatif au parc informatique de l’entreprise 

Prendre en charge les infrastructures réseaux des différents sites physiques

🤝Notre promesse : 

Un environnement où il fait bon travailler

Une culture du partage avec des équipe bienveillantes

Un environnement qui vous encourage à prendre des initiatives"
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/vinci-energies/jobs/ingenieur-d-etudes-et-developpement-informatique-f-h_lyon?q=b199bdbfb72f0380217888ee73daf1d9&o=59ff1970-d224-4ad5-8ed6-4b58e0c58f8d&p=true,Ingénieur d'études et Développement Informatique F/H,VINCI ENERGIES EN FRANCE,Stage,Jonage,2024-10-25T08:43:24Z,Non spécifié,Télétravail non autorisé,Candidatures,"Dans un monde en évolution permanente, VINCI Energies accélère la transition environnementale en concrétisant deux mutations majeures, numérique et énergétique. Ses équipes déploient des technologies et des solutions multitechniques sur mesure, de la conception à la réalisation, l’exploitation et la maintenance. Ancrées dans leurs territoires, agiles et innovantes, ses 2000 entreprises sont au cœur des choix énergétiques de leurs clients, de leurs infrastructures et de leurs process pour les rendre chaque jour plus fiables, plus efficients et plus durables. VINCI Energies vise une performance globale, attentive à la planète, utile aux hommes et solidaire des populations.

VINCI Energies vise une performance globale, attentive à la planète, utile aux hommes et solidaire aux populations.

Et si ton aventure professionnelle commençait avec VINCI Energies ?

Enfrasys, filiale du groupe VINCI Energies, est une entreprise de 70 collaborateurs basée à Lyon. Nous sommes spécialisés dans la mise en œuvre de solutions sur mesure pour l'exploitation, la sécurisation et l'optimisation énergétique des infrastructures de transport.

Parmi nos expertises, nous développons des applications informatiques d'hypervision et d'aide à l'exploitation pour nos clients dans le domaine des Routes & Tunnels, des Transports en commun et du Fluvial.

Acteur de la transition énergétique et conscients des enjeux de la mobilité de demain, nous intégrons dans nos projets une véritable démarche d'innovation.

Tu prépares actuellement un diplôme d'ingénieur de niveau Bac +5 en informatique ou équivalent.

Dans le cadre de notre développement, nous recrutons au sein de notre entreprise un(e) stagiaire Ingénieur(e) d'études et Développement Informatique à Lyon (69), pour une durée de 6 mois.

Ton tuteur/tutrice t'aidera à identifier tes objectifs professionnels et t'accompagnera dans le développement de tes compétences.

Dans le cadre de nos projets de réalisation de systèmes informatiques pour le métro de Lyon, tu intégreras nos équipes de développement informatique.

Le sujet est d’automatiser les tests sur les IHM du Poste de Contrôle Commande du métro.

Il faudra définir la couverture des tests nécessaires pour éviter les non-régressions et mettre en œuvre les tests automatisés en découlant.

Le travail est en lien avec le Chef de Projets, le Responsable Validation et les équipes de développement.

Le système concerné utilise les technologies suivantes :

• Back : Java

• Front : Angular et Qt


• Echanges de données : Data Distribution Service (DDS)


• Architecture micro-services

• Bases de données : interne PostgreSQL - externe MongoDB


• DevOps : Kubernetes


• Gestion du code : GitLab Premium


• Qualimétrie du code : SonarQube


• Gestion d’artéfacts : Nexus


• Analyse de sécurité : Fortify




Ton profil : 




Motivation, organisation et rigueur,
Esprit d'équipe, goût d’entreprendre et qualités relationnelles,
Attrait pour l’informatique,
Maîtrise du développement informatique,
Connaissance du langage Python,
Permis B fortement recommandé.




Nos avantages : 

Mener des projets à responsabilité, en toute autonomie !
Cadre de travail agréable avec une équipe opérationnelle.
Travail porteur de sens.


Possibilité d’embauche à l’issu du stage dans le cadre de notre Graduate Programme Pépinière qui accompagne nos ingénieur(e)s d'affaires dans leur développement professionnel via des formations, immersions en entreprise, et un suivi personnalisé avec un tuteur.




"
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/greenerwave/jobs/it-manager-f-h_paris_GREEN_W1qgrDl?q=b199bdbfb72f0380217888ee73daf1d9&o=520e36f8-835f-4ad4-a4ce-8c3f62a7a172&p=true,IT Manager (F/H),GREENERWAVE,CDI,Paris,2024-10-17T15:10:42Z,Non spécifié,Télétravail fréquent,Candidatures,"Rattaché(e) à notre Directrice Générale, vous superviserez, animerez et ferez monter en compétences une équipe composée de 3 personnes.

Vous aurez pour objectif de participer à la définition de la roadmap IT, veiller au bon fonctionnement et structurer l’évolution de nos systèmes et outils informatiques afin de répondre à nos objectifs de croissance. En tant qu’IT Manager, vos missions seront les suivantes :

Administrer nos réseaux et systèmes :

Piloter l’infrastructure réseau de l’entreprise (téléphonie, Ethernet et WIFI) sur nos sites (Paris, Toulouse et Sophia Antipolis),

Définir les normes et standards pour assurer l’intégrité et la sauvegarde de nos données,

Maintenir en condition opérationnelle notre réseau informatique en participant aux activités de support et résolution d’incidents,

Mettre en place des projets d’évolution pour répondre aux besoins des utilisateurs,

Manager nos systèmes d’informations :

Piloter et coordonner les nouveaux projets de systèmes d’informations (maîtrise d’ouvrage, organiser le paramétrage de nos solutions de façon had-oc, formation utilisateurs, définition des droits utilisateurs, …),

Maintenir en condition opérationnelle nos systèmes d’informations et contribuer à leur amélioration pour garantir leur performance globale,

Gérer le parc informatique :

Superviser les achats (relations fournisseurs), le stock et l’inventaire du matériel informatique et des licences,

Accompagner nos collaborateurs de l’onboarding (préparation du matériel et accès, formation aux outils, …) jusqu’à leur offboarding (retour du matériel, clôture des accès, …),

Assurer le fonctionnement et le support pour nos collaborateurs quant à leurs outils informatiques et logiciels métiers,

Assurer le respect de la politique Cybersécurité et RGPD :

Piloter l’évolution de nos politiques de cybersécurité et mettre en place les actions nécessaires pour garantir la protection de nos réseaux et outils informatiques sur site ou à distance,

Veiller à l’application et aux évolutions de notre politique RGPD.

"
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/securitesociale/jobs/analyste-informatique-et-systeme_valbonne_LSS_mRl6dWY?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=9608afc3-de2e-4538-af36-3e7fbf0677bd,ANALYSTE INFORMATIQUE et SYSTEME,LA SÉCURITÉ SOCIALE,CDI,Valbonne,2024-11-14T06:13:29Z,Non spécifié,Télétravail fréquent,Candidatures,"Contexte

Avec ses 77 000 collaborateurs, 60 millions d'usagers, l'Assurance Maladie gère l'un des tout premiers Systèmes d'Information de France. Employeur attaché aux valeurs de solidarité, d'égalité, le groupe réunit 120 entités réparties dans toute la France.

Les Centres de Traitement Informatique garantissent le service des applications du Système d'Information. Le CTI Sophia Antipolis assure la gestion de la production informatique de 50 Caisses Primaires d'Assurance Maladie et 7 Régimes et Mutuelles Partenaires (RMP).

Intégrer le CTI Sophia Antipolis, c'est être au service des organismes de l'Assurance Maladie, contribuer à l'un des plus grands systèmes d'information européen, le tout dans un environnement privilégié (plus de 50 jours de congés, prime d'intéressement, Comité Social économique, tickets restaurant, ...) au cœur d'une région où il fait bon vivre.

Mission/Activités

Au sein du département des Opérations techniques et fonctionnelles, vous rejoindrez une équipe d'une quarantaine de personnes pour contribuer, d'une part, à l'intégration des applications dans le SI de l'Assurance Maladie avec le concours des équipes projets, et d'autre part à la bonne exécution quotidienne du Contrat de Service du CTI Sophia dont il a la responsabilité.

Nous recherchons un(e) nouvel(le) analyste informatique et système qui aura pour mission :

Intégrer et faire évoluer les fonctionnalités à implémenter dans un environnement Linux ou Unix, en conformité avec les normes établies.
Analyser les demandes de changement
Procéder à une mesure et analyse des impacts afin de réduire les risques inhérents aux mises en production
Préparer et participer aux réunions du comité consultatif (CAB) et les revues de post-implémentation des changements mis en œuvre
Participer à la définition des outils de gestion pour les changements (outils de type tableaux de bord, robotisation, …)
Contribuer à l'amélioration continue et aux réflexions autour de l'organisation des activités.
Maintenir nos référentiels système en collaboration avec notre site d'hébergement
Assurer un rôle de coordination technique sur les sujets à fort impact technique
Interlocuteur privilégier auprès des acteurs du site d'hébergement sur les aspects datacenter, système, sauvegardes et middleware (base, tuxedo, weblogic,..)
Assurer le reporting et la documentation de son activité

Prêt(e) à jouer un rôle essentiel au sein d'une équipe dynamique, travaillant sur des projets techniques de grande envergure ? Vous contribuerez activement à la gestion de la production, en travaillant en étroite collaboration avec les clients et les services de transverses.

Compétences

Le + : vous avez des connaissances sur l'environnement technique :

Utilisation d'APM
Utilisation des outils informatiques liés à la gestion et d'analyse de log
Utilisation des systèmes de sauvegarde (Avamar, networker,..)
Mise en œuvre des méthodes et outils de résolution de problèmes
Langages de scripting (shell, Perl, Python)
Systèmes (AIX, UNIX, Linux)
Dimension relationnelle importante
Connaissance de Nagios, Centreon, Grafana, ELK appréciées
Communication écrite et orale
Langue étrangère : Anglais technique souhaité.
Permis : Titulaire du permis B

Formation

De formation BAC+ 4/5 en informatique, vous avez une expérience de 5 ans minimum sur un poste similaire avec des missions d'intégration fonctionnelle.

Informations complémentaires

Avantages du poste :

Télétravail : 2 jours / semaine
Horaires variables, Equilibre vie pro/vie perso
Plan de formation et développement de l'expertise en interne
Rémunération fixe sur 14 mois, prime d'intéressement annuelle
RTT : 20 jours
Autres avantages : ticket restaurant, mutuelle d'entreprise, forfait mobilité durable, etc.

Dans le cadre de sa politique diversité, le CTI soutient l'égalité Hommes/femmes et favorise l'insertion professionnelle, l'accès et le maintien dans l'emploi des personnes en situation de handicap.

Le candidat s'engage à respecter le secret professionnel et les dispositions relatives à la PSSI.

"
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/wedolow/jobs/ingenieur-informatique-industrielle_cesson-sevigne?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=10e2bf97-1833-4a05-abc7-27dfb0acdb16,Ingénieur(e) Informatique Industrielle ,WEDOLOW,CDI,Cesson-Sévigné,2024-11-14T08:37:40Z,Non spécifié,Télétravail non autorisé,Candidatures,"Pour travailler au sein de l’équipe R&D de WedoLow nous sommes à la recherche d’un(e) ingénieur(e) travaillant sur le développement de la brique R&D de notre produit. Cette brique permet de réaliser un diagnostic et d’optimiser des codes source C/C++ par rapport à une plateforme matérielle cible. Ce profil peut être également amené à être en relation avec nos clients sur les cas d’usage fournis dans le cadre des prestations de service outillées que nous réalisons. Cette personne sera en fort lien avec l’équipe en charge du développement applicatif du produit afin de remonter les besoins recensés auprès des clients et proposer de nouvelles fonctionnalités à l’équipe de développement applicatif. Pour réaliser ces deux types de missions (dev produit et prestations de service outillées), une bonne connaissance de l’informatique industrielle est nécessaire (programmation sur micro-contrôleurs a minima).

Le poste est à pourvoir au plus tôt, à Cesson-Sévigné. CDI à plein temps. Télétravail possible jusqu’à 2 jours par semaine. Salaire selon profil."
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/elcia-groupe/jobs/technicien-support-niveau-1-informatique-f-h_brignais_EG_qPJqqgr?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=b63b1029-96c6-4170-aa84-65ff4616f82f,Technicien Support Niveau 1 Informatique F/H,ELCIA GROUPE,CDI,Brignais,2024-11-13T16:36:49Z,26K à 29K €,Télétravail occasionnel,Candidatures,"Intégré au Service Technique de la BU ""Revendeurs"", au sein du support de niveau 1 vos missions sont les suivantes :

Vous intégrez une équipe de 20 personnes et assurez l'assistance technique téléphonique de nos clients artisans, revendeurs et négoces du secteur de la Menuiserie/Stores/Fermetures sur notre logiciel Prodevis.

Véritable relais technique, vous êtes l'interlocuteur dédié de nos clients en cas de problématique de niveau 1 rencontré sur le logiciel.

Votre rôle sera de gérer la relation client, d'établir un diagnostic précis et d'apporter une solution technique cohérente à distance en vous assurant de la satisfaction de nos clients.

Vous effectuez également les installations du logiciel chez les clients à distance."
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/exotec/jobs/acheteuse-acheteur-senior-informatique_lille?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=c38a2465-8f15-4b33-b93e-5ce6d9090863,Acheteuse/Acheteur Senior - Informatique,EXOTEC,CDI,Lille,2024-11-13T00:19:14Z,Non spécifié,Télétravail non autorisé,Candidatures,
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/stage-conseiller-technique-outils-informatiques-f-h_evry?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=c85cbdb1-cfc4-4bc5-ba2c-4f93ac07048d,STAGE - Conseiller technique outils informatiques F/H,SAFRAN AIRCRAFT ENGINES,Stage,Évry-Courcouronnes,2024-11-13T23:29:59Z,Non spécifié,Télétravail occasionnel,Candidatures,"Et si vous montiez à bord du vol à destination de Safran Aircraft Engines ?

Safran est un Groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense.

Safran Aircraft Engines est une société du Groupe Safran.
Porté par près de 17 000 collaborateurs répartis sur 31 sites dans 9 pays, Safran Aircraft Engines (SAE) est un motoriste aéronautique depuis plus de 110 ans. Nous concevons, développons, produisons et commercialisons, seul ou en coopération, des moteurs pour avions civils et militaires, ainsi que pour les satellites.

La division Services de la Direction du Système d'Information (DSI) de Safran Aircraft Engines recherche un-e stagiaire !

Une des priorités de la DSI est d'améliorer sensiblement l'expérience de ses clients internes.

L'amélioration de cette expérience clients est développée au travers :
* Des Lounge IT dont le but est d'apporter conseil et support aux clients de la DSI
- Du suivi de projet sur le déploiement des Lounge
- Développer de nouveaux outils informatiques



Vous devrez entre autres :
- Etre en capacité de recueillir les irritants clients
- Assister les clients à la prise en main de leur poste informatique
- Apporter le support et l'assistance sur PC et Smartphones
- Accompagner et conseiller nos clients sur les solutions fournies par la DSI (connexion à distance, borne de décontamination, ...) et les nouvelles qui pourraient être développées
- Suivi de la gestion du parc informatique avec le responsable de site
- Proposer des améliorations en fonction de retours clients
- Aider à identifier et traiter les dysfonctionnements

Vous rapporterez hiérarchiquement à la responsable du Lounge IT d'Evry-Corbeil.

"
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/stage-ingenieur-ingenieure-en-informatique-h-f_les-mureaux?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=7b15b654-ab98-481b-bcd5-e8c87895549d,STAGE - Ingénieur / Ingénieure en informatique (H/F),ARIANEGROUP,Stage,Les Mureaux,2024-11-13T23:01:05Z,Non spécifié,Télétravail non autorisé,Candidatures,"Description de l’offre:

Dans le cadre de ses activités opérationnelles, le service Data Management est en charge de collecter, définir et livrer les données avioniques des lanceurs civils (Ariane 6…) et militaires d’ArianeGroup. Nous utilisons pour cela des bases de données et un outil SIGMA dédié à la modélisation des lois d’étalonnage des chaines de mesure. Cet outil ancien est basé sur des tables Oracle, des procédures de modélisation réalisées avec le logiciel Mathematica et le langage Livecode.

Lors de ce stage, vous aiderez le responsable de l’outil SIGMA (votre tuteur) à préparer le futur portage de cet outil dans des technologies plus modernes.

Sous la responsabilité de votre maitre de stage, vous participerez aux missions suivantes :
- Le retro-engineering de certaines fonctions de l’outil SIGMA
- Leur documentation
- La contribution aux choix et à la faisabilité de portage du code
- Les possibilités de portage à l’aide de l’IA

Vous souhaitez développer vos compétences au sein d’un secteur dynamique qui travaille sur des projets exceptionnels comme Ariane 6 ? Rejoignez-nous !

"
https://www.welcometothejungle.com/fr/jobs?refinementList%5Boffices.country_code%5D%5B%5D=FR&query=informatique&page=1,https://www.welcometothejungle.com/fr/companies/airbus-1/jobs/stage-2025-prototypage-de-logiciels-devops-developpement-de-logiciels-et-operations-informatiques-f-h_toulouse?q=f734c6d29e3ae8e2e26eeff2aa27c5e4&o=423c6fc7-64e5-4796-bf18-cae227c0a5f9,Stage 2025 - Prototypage de Logiciels DevOps (Développement de Logiciels et Opérations informatiques) (f/h),AIRBUS,Stage,Toulouse,2024-11-13T22:45:20Z,Non spécifié,Télétravail non autorisé,Candidatures,"Job Description:

Et si votre aventure professionnelle commençait avec Airbus ! 

Vous recherchez un stage de fin d’année ou intégré dans une année de césure vous permettant de valider votre diplôme? Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation!

Une offre de stage intitulée « Prototypage de Logiciels DevOps (Développement de Logiciels et Opérations informatiques) (f/h) » vient de s'ouvrir au sein de Airbus Commercial, sur son site de Toulouse Saint-Martin. 

Vous rejoindrez une équipe de 25 personnes au sein du département  « Processus d'ingénierie, méthodes et outils » en charge de se concentrer sur le développement et le déploiement de méthodes pour soutenir de nouvelles façons de travailler pour améliorer radicalement l'avenir de l'aviation durable.

Votre stage consistera à améliorer fondamentalement notre capacité de test de notre cadre de prototypage DevOps. Dans notre cadre de prototypage, l'utilisation de DevOps (pratique qui combine le développement de logiciels et les opérations informatiques) est une capacité centrale pour permettre une adaptation robuste et rapide du cadre vers de nouveaux cas d'application basés sur les principes de l'ingénierie des systèmes. Dans le cadre de l'approche DevOps, l'intégration continue nécessite une capacité de test de non-régression stable et flexible.

Vous nous aiderez à faire progresser notre capacité de non-régression, en particulier à étendre nos moyens de test de bout en bout basés sur la solution open source cypress.io pour les tests frontaux basés sur un navigateur. L'objectif de la mission concernera l'extension de la couverture frontale des tests de non-régression ainsi que l'intégration de cette configuration de test dans l'architecture informatique DevOps. De plus, vous serez en charge de l'exécution de la capacité de test de non-régression lors des sprints de développement sur les fonctionnalités nouvellement développées et vous assurerez la déclaration d'erreurs logiciel et leurs activités correctives associées par l'équipe de développement.

Idéalement, ce stage d’une durée de 6 mois commencera en Janvier 2025 (la période est communiquée à titre indicatif, et pourra être revue).  

Tâches et responsabilités :

Vous serez sous la responsabilité d’un manager qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.

Dans ce contexte, vos principales activités seront les suivantes:

Participation aux sessions de raffinement du développement (analyse de la complexité des tests de nouvelles fonctionnalités)

Développement d'un code de test de non-régression frontal basé sur cypress.io

Maintenir et exécuter le banc de test de non-régression des nouvelles fonctionnalités développées pendant le 'sprint'

Déclaration et suivi des corrections de bugs trouvés par les tests

Avec le soutien de l'équipe de développement, progrès sur l'intégration du banc de test de non-régression dans l'architecture informatique DevOps

Ce stage vous permettra de développer les compétences suivantes : 

Développement logiciel Agile / Approche DevOps

Ingénierie des systèmes

Langage JavaScript (nodeJS / vueJS)

Votre carte d'embarquement :

Vous préparez actuellement un diplôme de niveau Bac +4/5 (ou équivalent) dans le domaine des Technologies de l'Information / Développement de Logiciels ou une discipline apparentée?

Vous possédez les compétences suivantes :

Compétences de base en programmation : javascript, python

Curieux d'apprendre de nouvelles choses

Autonome et proactif

Esprit d'équipe

​

Compétences linguistiques :

Anglais  : Avancé

Français  : Intermédiaire

Prochaines étapes de notre processus de sélection : Votre candidature sera analysée par un recruteur/recruteuse dans les prochains jours. Si votre profil correspond aux pré requis, vous serez invité(e) à réaliser un entretien vidéo. Si votre candidature est retenue, elle sera alors proposée au manager pour un entretien. 

Rejoignez-nous!

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:

AIRBUS SAS

Employment Type:

Internship

-------

Experience Level:

Student

Job Family:

Software Engineering <JF-EN-EK>

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com.

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.

"
