Nom_poste,Contrat,Description,Salaire,Experience,Entreprise
Gestionnaire Data RH (H/F),"
CDI

Contrat travail
","Nous recherchons un Gestionnaire Intérimaires et Analyste de Données pour rejoindre notre département RH. Ce poste nécessite une maîtrise du chinois et du français ainsi qu'une expertise en gestion des intérimaires et analyse de données. Vous serez en charge du suivi des intérimaires, de l'optimisation des coûts et du traitement des données via Power BI et Python.

Missions principales

1. Gestion des relations avec les agences d'intérim
- Vérifier et valider les factures des agences d'intérim
- Assurer la fiabilité des relevés d'heures des intérimaires
- Soumettre les factures aux responsables concernés
- Communiquer avec les agences pour résoudre les problématiques et optimiser le service
- Analyse des données et modélisation avec Power BI et Python

2. Collecter et structurer les données des intérimaires
- Créer des modèles prédictifs pour anticiper l'évolution des besoins
- Analyser et prévoir la demande en intérimaires ainsi que les coûts associés
- Identifier des leviers pour optimiser l'utilisation des intérimaires et réduire les dépenses
- Amélioration des outils de gestion

3. Collaborer avec l'équipe IT pour améliorer le logiciel interne
- Suivre les projets de développement pour une gestion optimale des intérimaires
- Support administratif et gestion des contrats

4. Préparer les documents pour les transitions d'intérim en CDI ou CDD
- Informer et accompagner les intérimaires sur les procédures administratives
- Gestion des accidents de travail des intérimaires

5. Prendre contact avec les agences en cas d'accident
- Assurer la déclaration et le suivi administratif des accidents
- Formation et intégration des nouveaux collaborateurs

6. Organiser des sessions d'intégration en chinois et en français
- Assurer une transmission efficace des informations pour une prise de poste réussie
- Communication avec le siège en Chine

7. Rédiger des rapports réguliers en chinois sur l'utilisation des intérimaires, incluant la répartition, les coûts et l'évolution des besoins
- Proposer des améliorations pour optimiser la gestion des intérimaires
- Adapter les processus locaux en fonction des retours du siège


Profil recherché

Diplôme : Bac plus 3 ou plus en Ressources Humaines, Data Science ou Gestion

Expérience : Un an minimum dans un poste similaire

Compétences techniques :
-Maîtrise de Power BI et Python pour l'analyse et la modélisation de données
-Bonne connaissance du droit du travail français, notamment IDCC16

Langues :
Chinois HSK6 ou équivalent avec capacité à travailler en chinois
Français B2 minimum

Qualités personnelles :
- Esprit d'équipe et bonnes compétences relationnelles
- Rigueur et autonomie
- Capacité d'analyse et prise d'initiative","Salaire brut : Mensuel de 2500.0 Euros à 3200.0 Euros sur 12.0 mois
Chèque repas
Mutuelle",6 Mois,
Gestionnaire DATA et Animateur réseau (H/F),"
CDI

Contrat travail
","Description du poste
Poste basé à Niort, lié au pôle Moteurs & Boîtes
Champ d'intervention/application : National
Lien hiérarchique : Responsable Pôle Moteurs & Boîtes.
Travail en corrélation avec tous les utilisateurs de notre outil.

Missions principales :
-Réalisation et entretien du référencement contenu dans les fiches articles de notre application M/B.
-Assistance technique auprès des partenaires utilisant Activcar.
-Suivi du déploiement d'ACTIVCAR

Tâches
- Validation et apport de data contenues dans les fiches articles, travail de fond et à la demande des utilisateurs (internes et externes)
- Uniformisation des fiches ayant les mêmes caractéristiques.
- Aide technique aux utilisateurs d'Activcar.
- Veiller au bon fonctionnement du système.
- Faire remonter les éventuels disfonctionnements.
- Être force de propositions sur d'éventuelles améliorations de l'outil.

Outils de travail :
- Logiciel de gestion de stock GOKAZ.
- Logiciel Activcar.
- Sites de référencements divers.

- Moyens de communication : boite mail, téléphone.

Missions annexes :
- Gérer les relances des vielles matières grâce aux supports dédiés.

Horaires :
Du lundi au vendredi
Repos le week-end
Travail en journée","Salaire brut : Mensuel de 1950.0 Euros sur 12.0 mois
Primes",1 An(s),"
GENEVE OCCASION
"
Chargé / Chargée Data et CRM (H/F),"
CDI

Contrat travail
","Le pôle digital de l'Afev recherche un.e Chargé.e Data & CRM.

Rattaché.e au pôle digital, en collaboration avec le chef de projet digital, vous serez responsable de la gestion et de l'exploitation des données, garantissant leur qualité, leur fiabilité et leur valorisation. Vous interviendrez aussi sur l'amélioration continue du CRM, tout en participant à la mise en œuvre et au suivi du cadre RGPD.

Si la data, l'analyse et la gestion de projet vous passionnent et que vous souhaitez mettre vos compétences au service d'un projet à impact, rejoignez-nous !

Gestion et exploitation de la data
- Assurer la qualité, la fiabilité et la cohérence des données au sein de l'Afev ;
- Améliorer le processus de collecte, nettoyage et traitement des données ;
- Gérer l'outil de Business Intelligence et développer des reportings pour les équipes ;
- Réaliser des analyses et produire des dashboards pour suivre les indicateurs clés (KPI) ;
- Assurer la conformité des processus de collecte et de stockage des données (RGPD).

Gestion et optimisation du CRM
- Participation à la rédaction des spécifications fonctionnelles détaillées et techniques ;
- Superviser les évolutions du CRM en lien avec les prestataires et les équipes internes ;
- Mettre en place des automatisations et optimiser les workflows pour améliorer l'expérience utilisateur ;
- Réaliser des interventions ponctuelles sur le CRM pour des modifications mineures.
- Définir et optimiser les règles de gestion des données dans le CRM.

Formation et accompagnement des équipes
- Assurer la communication des évolutions et des bonnes pratiques liées à la data et au CRM ;
- Créer et maintenir la documentation utilisateur et technique ;
- Animer des formations et des workshops pour sensibiliser les équipes à la gestion des données et à la bonne utilisation du CRM ;
- Assurer le support et la gestion des demandes liées au CRM et aux outils de BI.",Salaire brut : Annuel de 36000.0 Euros à 44000.0 Euros sur 12.0 mois,2 An(s),"
ASS FONDATION ETUDIANTE POUR LA VILLE
"
,,,,,
Développeur / Développeuse data (H/F),"
CDI

Contrat travail
","Vous êtes actuellement un spécialiste data et vous souhaitez continuer à évoluer dans votre parcours de développeur ? Nous avons la mission qu'il vous faut.
Nous recrutons actuellement un Développeur data ou une développeuse data, en CDI pour l'un de nos clients situés à Montpellier.

Missions principales :
La mission consiste à construire les services de la plateforme décisionnelle (cubes, restitutions, portail de diffusion .), de développer et d'industrialiser les indicateurs nécessaires au pilotage de la performance économique et managériale des directions métiers.
 
Activités :
-    Modéliser les bases de données permettant de répondre aux besoins identifiés
-    Développer les traitements d'import de données et de flux avec l'ETL Microsoft SQL Server SSIS
-    Développer les indicateurs en respectant les règles de gestion émises
-    Optimiser et fiabiliser les traitements
-    Intégrer les dimensions et les mesures dans les cubes SSAS
-    Exécuter les tests de bout en bout
-    Respecter les délais de livraisons.

Votre profil
Formation Bac+2 à Bac+5 en gestion, informatique ou domaine connexe, avec une expérience de minimum 4 ans en tant que Data développeur.

Compétences techniques : 
-    Suite Microsoft BI
-    Power BI
-    SQL 
-    GCP (serait un plus)
-    Appétence décisionnel (cohérence et qualité de données)

Pourquoi nous rejoindre ?
Nous vous offrons un environnement de travail axé sur la proximité et l'accompagnement personnalisé. Dès votre intégration, vous bénéficierez d'une équipe à l'écoute, prêts à répondre à vos besoins.

En rejoignant Tech Valley, vous aurez accès à un large portefeuille de projets variés, permettant de multiples opportunités d'évolution. Que vous soyez en mission pour une courte durée ou pour toute votre carrière, vous serez soutenu dans votre développement professionnel.

Nous nous engageons à favoriser l'inclusion de tous les talents, sans distinction, et à promouvoir un environnement de travail respectueux, équitable et solidaire. Nous croyons fermement que la diversité est une richesse qui contribue à la performance collective et à l'innovation.

Votre rémunération sera adaptée à vos compétences et à votre expérience, avec des avantages supplémentaires comme :
Proximité managériale pour garantir un soutien constant dans vos missions
Un parcours de développement des compétences personnalisé,
Un suivi régulier de votre évolution de carrière
Télétravail partiel en fonction des missions
Statut cadre
7 jours de RTT
Mutuelle avantageuse
Matériel informatique fourni
Remboursement partiel des frais de transport",Salaire brut : Selon profil,4 An(s),"
TECH VALLEY
"
DATA ENGINEER/OPS F/H (H/F),"
CDI

Contrat travail
","Description du poste

TA MISSION SI TU L'ACCEPTES
L'équipe Data apporte des solutions aux équipes internes (pour mieux comprendre l'usage des produits RCA, piloter l'activité, analyser et détecter des tendances, .) et participe au développement de fonctionnalités analytiques pour les clients de RCA. En collaboration avec les Data Analysts et les features teams, tes missions seront les suivantes : 
- Tu es référent dans le choix et la mise en œuvre des architectures Data.
- Tu accompagnes notre équipe de data engineer dans sa monté en compétence, et tu mets en place des bonnes pratiques.
- Tu participes à la définition de la roadmap data avec l'ensemble de l'équipe (identification, qualification et priorisation des projets métiers et techniques)
- Tu développes des infrastructures data en utilisant des outils IaC (Terraform) dans un contexte AWS/Snowflake et fusionne dans des CI/CD.
- Tu codes des packages et applications Python Dockerisées dans un contexte d'intégration continue.
- Tu conçois et mets-en œuvre des pipelines de données pour répondre aux besoins des utilisateurs RCA et de ses clients.
- Tu épaules nos Data Analysts et nos PO/PM dans la réalisation de leurs missions
- Tu participes à la définition des bonnes pratiques et à la mise en oeuvre de l'outillage de la plateforme Data (DevOps, tests, observabilité, gouvernance)
 
CE QUE NOUS TE PROPOSONS
- Une stack technique très récente et innovante 
- De nombreux sujets à explorer (Architecture évènementielle, Cloud, Machine Learning, Data as a Service, .) 
- Une grande liberté d'expression et de réalisation, tu peux partager et challenger tes idées  
- Un cadre de travail adapté (locaux modernes, jusqu'à 3 jours de télétravail, horaires flexibles, 5 jours de RTT, lundi de pentecôte et jour anniversaire offerts .)
- Et aussi d'autres avantages : team building, participation, chèques cadeaux, titres restaurants .


Qualifications

TU ES LE CANDIDAT IDÉAL SI
- Tu es reconnu-e par tes pairs pour tes compétences data que tu as pu mettre en oeuvre sur de nombreux projets 
- Les pipelines d'ingestion et préparation de données n'ont plus de secrets pour toi 
- Tu as des expériences significatives dans des contextes similaires à RCA (AWS, Python, Snowflake)
- Pragmatique, tu es soucieux-se de la réalisation et de la qualité du travail tout en veillant au respect des priorités.
- Bon-ne communicant-e, tu aimes les échanges simples et bienveillants, et tu cherches toujours à challenger tes idées et tes méthodes de travail avec celles des autres.
- Tu es proactif-ve au quotidien et souhaites t'impliquer dans la construction d'une équipe et de ses pratiques
 
NOTRE STACK TECHNIQUE 
- ELT : Airflow / DBT / Kafka
- Dev : Python (Poetry, Pytest, Black, .), SQL, Gitlab CI
- Cloud : AWS (IAM, S3, EKS, ECS, RDS, MSK, DMS, .)
- Stockage : Snowflake (Administration, RBAC, ingestion, .), Postgres
- BI / Reporting : Holistics, Thoughtspot
 

Informations complémentaires

Notre processus de recrutement se veut simple, transparent et dans la bonne humeur ! 
Nous débuterons par un premier échange téléphonique qui sera suivi d'un entretien (pour pouvoir rencontrer tes futur(e)s collègues de travail). Nous te tiendrons informé à chaque étape, peu importe le résultat, et nous prenons le temps de te faire un retour directement (et pas par mail )
Envie d'intégrer l'équipe ? Fais-nous confiance et rejoins l'aventure RCA !",Salaire brut : compétitif,Débutant accepté,"
RCA REALISATIONS POUR LA COMPTABILITE ET
"
Lead Data (H/F),"
CDI

Contrat travail
","À propos
Qui sommes-nous ?

Nous sommes passionnés par les nouvelles technologies, et vous ? 

Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.

Pourquoi choisir Amiltone ? 

 Amiltone, plus qu'une entreprise, un état d'esprit !

Notre objectif ? Votre épanouissement professionnel !

Nous avons à cœur de :

Vous accompagner au mieux au travers d'un suivi personnalisé
Vous faire monter en compétences en vous proposant des formations tout au long de votre carrière
Comprendre vos besoins et respecter nos engagements
Vous proposer des missions de qualité avec des technologies innovantes
Cultiver votre potentiel grâce à notre programme de développement personnel Addvise


Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances sportives animées par nos coachs, soirées pour se retrouver et animations (à l'agence ou en visio), Gaming nights...
Le poste
Vos missions ?

En tant que Lead Ingénieur Data, vous serez responsable de la conception, du développement et de la maintenance de solutions data au service des différents métiers de l'entreprise .
Aux côtés d'experts métiers, et d'un Leader Technique, vous devrez développer des traitements robustes, monitorés et résilients dans un écosystème Cloud avec des technologies d'industrialisation à l'état de l'art.
Vos traitements répondront à des besoins autour de problématiques complexes dans les domaines d'activité de l'entreprise (Réseau & système IOT, évolutions possibles sur comptage de l'eau, gestion des déchets, etc .)

La stack Technique :
SQL
Talend
Java
Python (lib : Pandas, Scikit Learn, Tensorflow, Matplotlib, Plotly...)
Scala, R,
Docker, Jenkins
Gitlab/Github
Grafana

Profil recherché
Alors ? Prêt à devenir Amiltonien ?

N'hésitez pas à postuler si vous vous reconnaissez :

Diplômé d'un Bac+3 , vous avez au minimum 5 ans d'expérience sur des sujets Data dont au moins 1 an en tant que Lead.
Vous aimez découvrir de nouveaux contextes fonctionnels et comprendre les objectifs des applications que vous développez.
A l'aise dans une organisation agile, vous faites preuve de rigueur et appliquez les standards de qualité Amiltone durant toute la durée des développements.

Outre vos compétences techniques, nous nous intéressons également à votre potentiel et votre motivation.

Nos postes sont ouverts aux personnes en situation de handicap.",Salaire brut : Annuel de 40000.0 Euros à 52000.0 Euros sur 12.0 mois,5 An(s),"
AMILTONE
"
Data Engineer (H/F),"
CDI

Contrat travail
","Nous recrutons un Data Engineer Sénior à Paris

Vous avez une expertise en Azure, Databricks et Power BI et souhaitez mettre votre savoir-faire au service de projets innovants ? Rejoignez-nous pour piloter des choix techniques stratégiques et façonner l'architecture des solutions data chez les plus grands industriels français et internationaux.

Votre mission :
-Concevoir et déployer des infrastructures data robustes
-Sélectionner les technologies adaptées aux besoins métiers
-Automatiser la collecte, le stockage et la transformation des données
-Assurer l'accès et la remontée des données vers Power BI

Profil recherché :
-Diplômé(e) d'une école d'ingénieur ou équivalent
-Minimum 6 ans d'expérience en Data Engineering
-Adaptable, passionné(e) et prêt(e) à relever des défis techniques

Ne manquez pas cette opportunité de booster votre carrière dans un environnement stimulant !

Postulez dès maintenant",Salaire brut : Annuel de 45000.0 Euros à 55000.0 Euros sur 12.0 mois,5 An(s),"
SEGMENT ELITE
"
Data Project Manager (H/F),"
CDI

Contrat travail
","Afin de nous accompagner dans notre développement, nous recherchons un(e) Chef de projet Data / Data Project Manager (H/F).
Vous accompagnerez nos scientifiques dans la valorisation des données et leur optimisation dans notre progiciel d'évaluation d'impact environnemental. Ce poste implique une forte dominante en gestion opérationnelle, en rédaction de spécifications et en interaction avec les clients, partenaires, équipes métiers et développeurs.
Participez au développement d'un progiciel qui a pour vocation d'aider les entreprises à accélérer leur performance environnementale et relever les challenges de demain. 
Missions : 
- Gestion de projet et coordination :
o Comprendre précisément les problématiques métiers en recueillant les besoins clients ou partenaires et en les traduisant de manière analytique en spécifications techniques
o Communiquer les résultats et les solutions avec les équipes métiers
o Maintenir une documentation technique à jour et opérationnelle

- Analyse et gestion des données : 
o Gérer et optimiser la collecte et le stockage des données
o Analyser l'impact des solutions retenues selon le besoin métier
o Concevoir et gérer les flux de données
o Extraire et organiser les données nécessaires aux calculs d'impacts

- Développement et industrialisation : 
o Assurer le suivi et la relecture des développements réalisés
o Assurer l'industrialisation des processus liés aux calculs d'impacts
o Mettre en place des outils génériques utilisables sur l'ensemble des projets","Salaire brut : Annuel de 38000.0 Euros à 42000.0 Euros sur 12.0 mois
Pc portable",Débutant accepté,"
GREEN SCORE CAPITAL
"
Data Engineer - H/F - CDI (H/F),"
CDI

Contrat travail
","Vos missions

Intégré(e) au sein de l'équipe Data, vous intervenez notamment sur :
- Le développement, déploiement et maintenance de pipelines d'ETL/ELT
- La mise en place d'APIs et de backends applicatifs
- La définition et mise en place de modèles de données, administration de base de données
- L'utilisation de plateformes et outils Cloud
- La compréhension et application de principes d'architecture
- La supervision et monitoring d'applications

Entouré(e) de nos experts, vous montez rapidement en compétence et participez au développement de nouveaux produits innovants dans le cadre de notre Datalab.

Principales technologies à utiliser ou à découvrir
- Langages : Python, SQL, DBT, Spark
- Bases de données : PostgreSQL, base de données NoSQL (MongoDB, ELK.)
- Orchestration : Airflow, Luigi
- DevOps : Git, CI/CD, Docker, Kubernetes/Nomad, Ansible.
- Outils Cloud : AWS, GCP, Azure, Snowflake, Databricks.
- Autres : Kafka

Quelques exemples de missions :
- Développement et commercialisation en SaaS d'un système de gestion intelligente de la politique de stationnement pour une centaine de villes en France
- Solution d'optimisation du pricing des produits vendus via une plateforme de ventes aux enchères en ligne
- Développement d'une plateforme de suivi et de prédiction des incidents sur un parc IT
- Développement from scratch d'un feature store à destination des data scientists d'un acteur de la réassurance
- Algorithmes de détection de fraude auprès d'assureurs
- Conception d'une plateforme data temps réel sur AWS

Vos moyens pour réussir
- Formation : dès votre arrivée, vous avez accès à un large panel de formations et ressources documentaires pour approfondir vos connaissances sur vos sujets de prédilection ou bien découvrir des sujets nouveaux par simple curiosité. Nous finançons également des formations AWS
- Management opérationnel : vous êtes accompagné(e) par un manager de mission et un Talent Manager tout au long de votre parcours chez nous
- Contact constant avec d'autres métiers / équipes au sein de nos locaux

Votre profil

Issu(e) d'une école d'ingénieurs ou d'une école spécialisée en développement informatique, vous possédez minimum 2 années d'expérience en Data Engineering et maîtrisez Python et SQL. Une expérience ou une formation spécifique (ex : Udemy) avec le calcul distribué, le traitement des données temps réel ou les bases de données NoSQL est un plus. Avoir déjà travaillé avec un ou plusieurs fournisseurs de cloud (AWS, GCP, Azure notamment) est également apprécié.",Salaire brut : Annuel de 39000.0 Euros à 45000.0 Euros sur 12.0 mois,6 Mois,"
POLYCONSEIL
"
